country_region_code,country_region,sub_region_1,sub_region_2,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
PL,Poland,Greater Poland Voivodeship,,2020-02-15,20,-1,37,11,1,0
PL,Poland,Greater Poland Voivodeship,,2020-02-16,10,-16,1,4,-4,1
PL,Poland,Greater Poland Voivodeship,,2020-02-17,6,4,11,15,25,-2
PL,Poland,Greater Poland Voivodeship,,2020-02-18,3,-2,4,0,2,1
PL,Poland,Greater Poland Voivodeship,,2020-02-19,5,1,4,-1,2,0
PL,Poland,Greater Poland Voivodeship,,2020-02-20,9,2,28,3,3,0
PL,Poland,Greater Poland Voivodeship,,2020-02-21,3,-1,1,-1,3,0
PL,Poland,Greater Poland Voivodeship,,2020-02-22,13,-1,25,6,3,0
PL,Poland,Greater Poland Voivodeship,,2020-02-23,-4,-27,-35,2,-5,1
PL,Poland,Greater Poland Voivodeship,,2020-02-24,3,5,2,14,25,-2
PL,Poland,Greater Poland Voivodeship,,2020-02-25,3,0,6,3,3,1
PL,Poland,Greater Poland Voivodeship,,2020-02-26,-1,-1,7,2,2,1
PL,Poland,Greater Poland Voivodeship,,2020-02-27,5,3,11,3,2,1
PL,Poland,Greater Poland Voivodeship,,2020-02-28,4,4,5,2,4,0
PL,Poland,Greater Poland Voivodeship,,2020-02-29,11,2,12,2,3,1
PL,Poland,Greater Poland Voivodeship,,2020-03-01,8,-4,38,11,-1,0
PL,Poland,Greater Poland Voivodeship,,2020-03-02,5,7,2,14,26,-2
PL,Poland,Greater Poland Voivodeship,,2020-03-03,2,-1,-4,-2,3,1
PL,Poland,Greater Poland Voivodeship,,2020-03-04,8,9,22,3,2,0
PL,Poland,Greater Poland Voivodeship,,2020-03-05,7,6,30,2,3,0
PL,Poland,Greater Poland Voivodeship,,2020-03-06,5,4,5,3,3,1
PL,Poland,Greater Poland Voivodeship,,2020-03-07,16,7,7,5,2,1
PL,Poland,Greater Poland Voivodeship,,2020-03-08,38,18,88,25,4,-2
PL,Poland,Greater Poland Voivodeship,,2020-03-09,5,7,10,13,25,-2
PL,Poland,Greater Poland Voivodeship,,2020-03-10,6,16,12,-1,2,1
PL,Poland,Greater Poland Voivodeship,,2020-03-11,4,30,22,-12,-5,2
PL,Poland,Greater Poland Voivodeship,,2020-03-12,-15,22,-10,-29,-17,7
PL,Poland,Greater Poland Voivodeship,,2020-03-13,-29,8,-28,-41,-20,12
PL,Poland,Greater Poland Voivodeship,,2020-03-14,-48,-16,-2,-39,-13,10
PL,Poland,Greater Poland Voivodeship,,2020-03-15,-69,-42,-4,-52,-27,10
PL,Poland,Greater Poland Voivodeship,,2020-03-16,-47,-19,1,-47,-20,13
PL,Poland,Greater Poland Voivodeship,,2020-03-17,-51,-27,24,-54,-38,17
PL,Poland,Greater Poland Voivodeship,,2020-03-18,-48,-21,38,-53,-40,17
PL,Poland,Greater Poland Voivodeship,,2020-03-19,-51,-22,3,-57,-40,18
PL,Poland,Greater Poland Voivodeship,,2020-03-20,-53,-21,-20,-59,-39,20
PL,Poland,Greater Poland Voivodeship,,2020-03-21,-60,-29,-16,-57,-26,14
PL,Poland,Greater Poland Voivodeship,,2020-03-22,-72,-50,-28,-63,-32,11
PL,Poland,Greater Poland Voivodeship,,2020-03-23,-49,-22,-21,-54,-27,16
PL,Poland,Greater Poland Voivodeship,,2020-03-24,-48,-19,-12,-59,-42,19
PL,Poland,Greater Poland Voivodeship,,2020-03-25,-55,-26,-27,-62,-44,20
PL,Poland,Greater Poland Voivodeship,,2020-03-26,-56,-29,-22,-62,-44,21
PL,Poland,Greater Poland Voivodeship,,2020-03-27,-56,-26,-18,-62,-42,22
PL,Poland,Greater Poland Voivodeship,,2020-03-28,-60,-32,26,-55,-28,13
PL,Poland,Greater Poland Voivodeship,,2020-03-29,-80,-61,-62,-73,-37,13
PL,Poland,Greater Poland Voivodeship,,2020-03-30,-52,-27,-29,-59,-31,17
PL,Poland,Greater Poland Voivodeship,,2020-03-31,-51,-23,-34,-63,-44,20
PL,Poland,Greater Poland Voivodeship,,2020-04-01,-55,-34,-33,-63,-45,21
PL,Poland,Greater Poland Voivodeship,,2020-04-02,-56,-33,-39,-65,-46,21
PL,Poland,Greater Poland Voivodeship,,2020-04-03,-56,-32,-43,-66,-44,23
PL,Poland,Greater Poland Voivodeship,,2020-04-04,-69,-42,-39,-63,-32,16
PL,Poland,Greater Poland Voivodeship,,2020-04-05,-70,43,-47,-68,-27,12
PL,Poland,Greater Poland Voivodeship,,2020-04-06,-51,-34,-28,-58,-33,17
PL,Poland,Greater Poland Voivodeship,,2020-04-07,-51,-28,-21,-61,-45,20
PL,Poland,Greater Poland Voivodeship,,2020-04-08,-47,-21,-17,-59,-46,18
PL,Poland,Greater Poland Voivodeship,,2020-04-09,-44,-17,-23,-60,-48,19
PL,Poland,Greater Poland Voivodeship,,2020-04-10,-46,-15,-33,-62,-54,24
PL,Poland,Greater Poland Voivodeship,,2020-04-11,-73,-57,-42,-64,-50,18
PL,Poland,Kuyavian-Pomeranian Voivodeship,,2020-02-15,13,-1,33,5,2,0
PL,Poland,Kuyavian-Pomeranian Voivodeship,,2020-02-16,6,-20,-10,10,-1,1
PL,Poland,Kuyavian-Pomeranian Voivodeship,,2020-02-17,5,3,11,12,27,-2
PL,Poland,Kuyavian-Pomeranian Voivodeship,,2020-02-18,3,-3,2,5,2,1
PL,Poland,Kuyavian-Pomeranian Voivodeship,,2020-02-19,4,0,-2,9,2,1
PL,Poland,Kuyavian-Pomeranian Voivodeship,,2020-02-20,8,1,17,9,3,-1
PL,Poland,Kuyavian-Pomeranian Voivodeship,,2020-02-21,2,-1,9,9,4,0
PL,Poland,Kuyavian-Pomeranian Voivodeship,,2020-02-22,6,-2,16,1,3,0
PL,Poland,Kuyavian-Pomeranian Voivodeship,,2020-02-23,-7,-23,-36,5,-2,1
PL,Poland,Kuyavian-Pomeranian Voivodeship,,2020-02-24,2,3,-2,8,27,-2
PL,Poland,Kuyavian-Pomeranian Voivodeship,,2020-02-25,2,0,9,1,2,1
PL,Poland,Kuyavian-Pomeranian Voivodeship,,2020-02-26,1,-2,1,6,2,1
PL,Poland,Kuyavian-Pomeranian Voivodeship,,2020-02-27,6,4,7,5,3,0
PL,Poland,Kuyavian-Pomeranian Voivodeship,,2020-02-28,4,4,10,8,4,0
PL,Poland,Kuyavian-Pomeranian Voivodeship,,2020-02-29,8,2,7,-2,4,1
PL,Poland,Kuyavian-Pomeranian Voivodeship,,2020-03-01,5,-7,12,14,2,0
PL,Poland,Kuyavian-Pomeranian Voivodeship,,2020-03-02,2,5,-8,9,28,-2
PL,Poland,Kuyavian-Pomeranian Voivodeship,,2020-03-03,3,-1,-5,0,2,1
PL,Poland,Kuyavian-Pomeranian Voivodeship,,2020-03-04,8,6,14,7,3,0
PL,Poland,Kuyavian-Pomeranian Voivodeship,,2020-03-05,7,6,24,9,3,0
PL,Poland,Kuyavian-Pomeranian Voivodeship,,2020-03-06,3,2,1,6,3,1
PL,Poland,Kuyavian-Pomeranian Voivodeship,,2020-03-07,11,7,10,-6,2,1
PL,Poland,Kuyavian-Pomeranian Voivodeship,,2020-03-08,27,9,35,13,7,-1
PL,Poland,Kuyavian-Pomeranian Voivodeship,,2020-03-09,4,4,5,4,28,-2
PL,Poland,Kuyavian-Pomeranian Voivodeship,,2020-03-10,8,7,16,1,2,1
PL,Poland,Kuyavian-Pomeranian Voivodeship,,2020-03-11,8,30,9,5,1,0
PL,Poland,Kuyavian-Pomeranian Voivodeship,,2020-03-12,-9,23,-14,-16,-15,6
PL,Poland,Kuyavian-Pomeranian Voivodeship,,2020-03-13,-24,7,-20,-32,-18,9
PL,Poland,Kuyavian-Pomeranian Voivodeship,,2020-03-14,-44,-13,-11,-40,-11,8
PL,Poland,Kuyavian-Pomeranian Voivodeship,,2020-03-15,-68,-42,-26,-56,-22,8
PL,Poland,Kuyavian-Pomeranian Voivodeship,,2020-03-16,-43,-17,-11,-43,-14,11
PL,Poland,Kuyavian-Pomeranian Voivodeship,,2020-03-17,-48,-25,7,-48,-34,14
PL,Poland,Kuyavian-Pomeranian Voivodeship,,2020-03-18,-46,-22,13,-47,-36,15
PL,Poland,Kuyavian-Pomeranian Voivodeship,,2020-03-19,-49,-22,-13,-52,-36,16
PL,Poland,Kuyavian-Pomeranian Voivodeship,,2020-03-20,-51,-22,-9,-58,-36,17
PL,Poland,Kuyavian-Pomeranian Voivodeship,,2020-03-21,-59,-29,-20,-61,-23,12
PL,Poland,Kuyavian-Pomeranian Voivodeship,,2020-03-22,-72,-53,-45,-70,-27,10
PL,Poland,Kuyavian-Pomeranian Voivodeship,,2020-03-23,-48,-22,-24,-56,-22,13
PL,Poland,Kuyavian-Pomeranian Voivodeship,,2020-03-24,-46,-21,-19,-57,-38,17
PL,Poland,Kuyavian-Pomeranian Voivodeship,,2020-03-25,-53,-28,-32,-57,-40,18
PL,Poland,Kuyavian-Pomeranian Voivodeship,,2020-03-26,-53,-29,-28,-60,-40,18
PL,Poland,Kuyavian-Pomeranian Voivodeship,,2020-03-27,-53,-27,-19,-64,-39,19
PL,Poland,Kuyavian-Pomeranian Voivodeship,,2020-03-28,-58,-31,27,-63,-24,11
PL,Poland,Kuyavian-Pomeranian Voivodeship,,2020-03-29,-79,-63,-73,-78,-33,12
PL,Poland,Kuyavian-Pomeranian Voivodeship,,2020-03-30,-51,-28,-31,-59,-26,15
PL,Poland,Kuyavian-Pomeranian Voivodeship,,2020-03-31,-48,-23,-36,-59,-41,18
PL,Poland,Kuyavian-Pomeranian Voivodeship,,2020-04-01,-54,-35,-45,-61,-42,19
PL,Poland,Kuyavian-Pomeranian Voivodeship,,2020-04-02,-55,-34,-41,-62,-42,19
PL,Poland,Kuyavian-Pomeranian Voivodeship,,2020-04-03,-55,-32,-40,-66,-41,20
PL,Poland,Kuyavian-Pomeranian Voivodeship,,2020-04-04,-68,-43,-38,-69,-29,14
PL,Poland,Kuyavian-Pomeranian Voivodeship,,2020-04-05,-67,46,-55,-76,-22,10
PL,Poland,Kuyavian-Pomeranian Voivodeship,,2020-04-06,-50,-35,-29,-59,-28,14
PL,Poland,Kuyavian-Pomeranian Voivodeship,,2020-04-07,-49,-29,-21,-59,-43,17
PL,Poland,Kuyavian-Pomeranian Voivodeship,,2020-04-08,-46,-24,-24,-57,-42,16
PL,Poland,Kuyavian-Pomeranian Voivodeship,,2020-04-09,-43,-17,-22,-58,-43,16
PL,Poland,Kuyavian-Pomeranian Voivodeship,,2020-04-10,-44,-13,-26,-63,-49,20
PL,Poland,Kuyavian-Pomeranian Voivodeship,,2020-04-11,-71,-54,-35,-70,-44,16
PL,Poland,Lesser Poland Voivodeship,,2020-02-15,16,3,32,14,1,-1
PL,Poland,Lesser Poland Voivodeship,,2020-02-16,22,-1,46,17,1,-1
PL,Poland,Lesser Poland Voivodeship,,2020-02-17,10,6,27,17,25,-3
PL,Poland,Lesser Poland Voivodeship,,2020-02-18,7,-1,21,8,2,0
PL,Poland,Lesser Poland Voivodeship,,2020-02-19,8,2,20,6,2,-1
PL,Poland,Lesser Poland Voivodeship,,2020-02-20,11,0,19,9,3,-1
PL,Poland,Lesser Poland Voivodeship,,2020-02-21,3,-5,-6,6,4,0
PL,Poland,Lesser Poland Voivodeship,,2020-02-22,7,-1,13,8,2,-1
PL,Poland,Lesser Poland Voivodeship,,2020-02-23,-6,-25,-30,2,-2,1
PL,Poland,Lesser Poland Voivodeship,,2020-02-24,0,1,-16,9,26,-3
PL,Poland,Lesser Poland Voivodeship,,2020-02-25,1,-2,-7,7,3,0
PL,Poland,Lesser Poland Voivodeship,,2020-02-26,-6,-5,-9,4,3,0
PL,Poland,Lesser Poland Voivodeship,,2020-02-27,3,-1,-11,8,4,0
PL,Poland,Lesser Poland Voivodeship,,2020-02-28,2,0,-14,8,5,0
PL,Poland,Lesser Poland Voivodeship,,2020-02-29,4,1,-2,2,3,0
PL,Poland,Lesser Poland Voivodeship,,2020-03-01,-3,-15,-2,7,1,1
PL,Poland,Lesser Poland Voivodeship,,2020-03-02,0,4,-20,9,27,-3
PL,Poland,Lesser Poland Voivodeship,,2020-03-03,-1,-3,-16,4,3,0
PL,Poland,Lesser Poland Voivodeship,,2020-03-04,-3,0,-25,1,3,0
PL,Poland,Lesser Poland Voivodeship,,2020-03-05,3,0,-2,6,4,0
PL,Poland,Lesser Poland Voivodeship,,2020-03-06,-1,-1,-15,3,5,0
PL,Poland,Lesser Poland Voivodeship,,2020-03-07,3,5,-14,-4,2,0
PL,Poland,Lesser Poland Voivodeship,,2020-03-08,10,-8,-3,7,2,0
PL,Poland,Lesser Poland Voivodeship,,2020-03-09,0,5,-10,9,26,-3
PL,Poland,Lesser Poland Voivodeship,,2020-03-10,-2,5,-10,0,2,1
PL,Poland,Lesser Poland Voivodeship,,2020-03-11,-4,26,-23,-4,-1,1
PL,Poland,Lesser Poland Voivodeship,,2020-03-12,-18,13,-27,-23,-18,7
PL,Poland,Lesser Poland Voivodeship,,2020-03-13,-34,-2,-49,-38,-23,12
PL,Poland,Lesser Poland Voivodeship,,2020-03-14,-58,-20,-60,-45,-17,11
PL,Poland,Lesser Poland Voivodeship,,2020-03-15,-78,-54,-42,-62,-32,11
PL,Poland,Lesser Poland Voivodeship,,2020-03-16,-55,-24,-54,-56,-27,15
PL,Poland,Lesser Poland Voivodeship,,2020-03-17,-59,-31,-43,-60,-45,20
PL,Poland,Lesser Poland Voivodeship,,2020-03-18,-58,-28,-36,-59,-47,19
PL,Poland,Lesser Poland Voivodeship,,2020-03-19,-57,-28,-34,-61,-47,20
PL,Poland,Lesser Poland Voivodeship,,2020-03-20,-61,-29,-61,-65,-46,22
PL,Poland,Lesser Poland Voivodeship,,2020-03-21,-70,-36,-79,-71,-33,16
PL,Poland,Lesser Poland Voivodeship,,2020-03-22,-84,-66,-73,-77,-40,14
PL,Poland,Lesser Poland Voivodeship,,2020-03-23,-61,-30,-72,-67,-37,19
PL,Poland,Lesser Poland Voivodeship,,2020-03-24,-59,-28,-67,-66,-50,23
PL,Poland,Lesser Poland Voivodeship,,2020-03-25,-66,-36,-72,-70,-52,24
PL,Poland,Lesser Poland Voivodeship,,2020-03-26,-65,-38,-67,-70,-52,24
PL,Poland,Lesser Poland Voivodeship,,2020-03-27,-65,-35,-63,-70,-50,24
PL,Poland,Lesser Poland Voivodeship,,2020-03-28,-69,-39,-59,-69,-34,15
PL,Poland,Lesser Poland Voivodeship,,2020-03-29,-84,-65,-69,-78,-41,14
PL,Poland,Lesser Poland Voivodeship,,2020-03-30,-63,-37,-75,-70,-42,21
PL,Poland,Lesser Poland Voivodeship,,2020-03-31,-61,-33,-71,-69,-53,24
PL,Poland,Lesser Poland Voivodeship,,2020-04-01,-65,-42,-73,-69,-53,24
PL,Poland,Lesser Poland Voivodeship,,2020-04-02,-64,-41,-71,-70,-54,24
PL,Poland,Lesser Poland Voivodeship,,2020-04-03,-66,-40,-76,-72,-52,25
PL,Poland,Lesser Poland Voivodeship,,2020-04-04,-75,-46,-78,-72,-37,16
PL,Poland,Lesser Poland Voivodeship,,2020-04-05,-80,1,-76,-78,-34,14
PL,Poland,Lesser Poland Voivodeship,,2020-04-06,-61,-40,-71,-68,-43,20
PL,Poland,Lesser Poland Voivodeship,,2020-04-07,-60,-35,-68,-67,-54,23
PL,Poland,Lesser Poland Voivodeship,,2020-04-08,-59,-30,-67,-66,-54,21
PL,Poland,Lesser Poland Voivodeship,,2020-04-09,-55,-24,-68,-66,-56,22
PL,Poland,Lesser Poland Voivodeship,,2020-04-10,-62,-26,-74,-71,-65,28
PL,Poland,Lesser Poland Voivodeship,,2020-04-11,-83,-62,-80,-75,-54,19
PL,Poland,Łódź Voivodeship,,2020-02-15,15,-1,30,6,2,0
PL,Poland,Łódź Voivodeship,,2020-02-16,12,-11,18,7,-2,2
PL,Poland,Łódź Voivodeship,,2020-02-17,7,3,17,7,20,-1
PL,Poland,Łódź Voivodeship,,2020-02-18,6,-1,7,2,2,0
PL,Poland,Łódź Voivodeship,,2020-02-19,5,3,10,-1,1,0
PL,Poland,Łódź Voivodeship,,2020-02-20,4,1,10,2,2,0
PL,Poland,Łódź Voivodeship,,2020-02-21,6,-1,-1,6,20,0
PL,Poland,Łódź Voivodeship,,2020-02-22,9,0,30,3,4,1
PL,Poland,Łódź Voivodeship,,2020-02-23,-7,-24,-26,-1,-3,3
PL,Poland,Łódź Voivodeship,,2020-02-24,2,3,-1,6,22,-1
PL,Poland,Łódź Voivodeship,,2020-02-25,2,2,9,4,3,0
PL,Poland,Łódź Voivodeship,,2020-02-26,0,0,5,1,2,0
PL,Poland,Łódź Voivodeship,,2020-02-27,6,5,8,4,1,0
PL,Poland,Łódź Voivodeship,,2020-02-28,7,6,4,8,20,-1
PL,Poland,Łódź Voivodeship,,2020-02-29,9,2,15,1,5,1
PL,Poland,Łódź Voivodeship,,2020-03-01,16,0,46,15,1,1
PL,Poland,Łódź Voivodeship,,2020-03-02,4,5,-1,6,24,-1
PL,Poland,Łódź Voivodeship,,2020-03-03,2,1,4,1,5,0
PL,Poland,Łódź Voivodeship,,2020-03-04,7,7,16,3,4,-1
PL,Poland,Łódź Voivodeship,,2020-03-05,6,6,28,9,5,-1
PL,Poland,Łódź Voivodeship,,2020-03-06,7,5,4,11,24,-1
PL,Poland,Łódź Voivodeship,,2020-03-07,13,8,16,2,6,0
PL,Poland,Łódź Voivodeship,,2020-03-08,30,5,19,13,5,1
PL,Poland,Łódź Voivodeship,,2020-03-09,10,6,30,9,24,-1
PL,Poland,Łódź Voivodeship,,2020-03-10,10,11,30,4,4,-1
PL,Poland,Łódź Voivodeship,,2020-03-11,9,36,13,-1,1,-1
PL,Poland,Łódź Voivodeship,,2020-03-12,-9,26,-14,-18,-15,5
PL,Poland,Łódź Voivodeship,,2020-03-13,-23,9,-20,-24,-4,9
PL,Poland,Łódź Voivodeship,,2020-03-14,-48,-18,-24,-36,-11,10
PL,Poland,Łódź Voivodeship,,2020-03-15,-67,-41,-15,-49,-24,11
PL,Poland,Łódź Voivodeship,,2020-03-16,-47,-21,-13,-45,-23,14
PL,Poland,Łódź Voivodeship,,2020-03-17,-50,-27,11,-48,-39,16
PL,Poland,Łódź Voivodeship,,2020-03-18,-48,-24,22,-48,-41,16
PL,Poland,Łódź Voivodeship,,2020-03-19,-50,-24,4,-49,-41,17
PL,Poland,Łódź Voivodeship,,2020-03-20,-52,-23,-30,-51,-30,19
PL,Poland,Łódź Voivodeship,,2020-03-21,-60,-34,-25,-54,-26,14
PL,Poland,Łódź Voivodeship,,2020-03-22,-73,-53,-43,-63,-29,13
PL,Poland,Łódź Voivodeship,,2020-03-23,-49,-26,-31,-52,-31,18
PL,Poland,Łódź Voivodeship,,2020-03-24,-49,-22,-27,-53,-43,19
PL,Poland,Łódź Voivodeship,,2020-03-25,-55,-29,-36,-57,-45,20
PL,Poland,Łódź Voivodeship,,2020-03-26,-55,-30,-29,-56,-44,20
PL,Poland,Łódź Voivodeship,,2020-03-27,-53,-26,-20,-53,-32,20
PL,Poland,Łódź Voivodeship,,2020-03-28,-58,-34,15,-50,-25,12
PL,Poland,Łódź Voivodeship,,2020-03-29,-74,-55,-49,-66,-29,13
PL,Poland,Łódź Voivodeship,,2020-03-30,-51,-31,-41,-56,-33,18
PL,Poland,Łódź Voivodeship,,2020-03-31,-50,-25,-41,-56,-44,20
PL,Poland,Łódź Voivodeship,,2020-04-01,-54,-34,-42,-58,-45,19
PL,Poland,Łódź Voivodeship,,2020-04-02,-54,-32,-46,-58,-45,20
PL,Poland,Łódź Voivodeship,,2020-04-03,-54,-30,-49,-55,-34,21
PL,Poland,Łódź Voivodeship,,2020-04-04,-66,-41,-47,-56,-27,15
PL,Poland,Łódź Voivodeship,,2020-04-05,-65,59,-55,-62,-20,12
PL,Poland,Łódź Voivodeship,,2020-04-06,-49,-34,-39,-55,-34,17
PL,Poland,Łódź Voivodeship,,2020-04-07,-47,-26,-37,-54,-45,18
PL,Poland,Łódź Voivodeship,,2020-04-08,-45,-20,-33,-54,-45,16
PL,Poland,Łódź Voivodeship,,2020-04-09,-42,-14,-34,-52,-46,17
PL,Poland,Łódź Voivodeship,,2020-04-10,-44,-11,-40,-51,-44,21
PL,Poland,Łódź Voivodeship,,2020-04-11,-73,-56,-48,-59,-47,17
PL,Poland,Lower Silesian Voivodeship,,2020-02-15,4,-3,35,7,-2,-3
PL,Poland,Lower Silesian Voivodeship,,2020-02-16,14,-23,20,8,-1,-2
PL,Poland,Lower Silesian Voivodeship,,2020-02-17,6,-2,14,-9,-15,1
PL,Poland,Lower Silesian Voivodeship,,2020-02-18,5,-4,21,-10,-15,2
PL,Poland,Lower Silesian Voivodeship,,2020-02-19,6,-4,4,-10,-15,2
PL,Poland,Lower Silesian Voivodeship,,2020-02-20,9,-2,31,-7,-15,1
PL,Poland,Lower Silesian Voivodeship,,2020-02-21,-1,-6,-1,-12,-16,2
PL,Poland,Lower Silesian Voivodeship,,2020-02-22,-2,-3,15,3,0,-2
PL,Poland,Lower Silesian Voivodeship,,2020-02-23,-13,-41,-46,-5,-4,1
PL,Poland,Lower Silesian Voivodeship,,2020-02-24,1,-1,-9,0,2,-1
PL,Poland,Lower Silesian Voivodeship,,2020-02-25,1,-1,-1,2,3,0
PL,Poland,Lower Silesian Voivodeship,,2020-02-26,1,-4,-6,-1,3,0
PL,Poland,Lower Silesian Voivodeship,,2020-02-27,5,1,0,1,2,0
PL,Poland,Lower Silesian Voivodeship,,2020-02-28,2,2,-5,1,2,0
PL,Poland,Lower Silesian Voivodeship,,2020-02-29,1,0,1,0,3,0
PL,Poland,Lower Silesian Voivodeship,,2020-03-01,11,-14,33,12,2,-1
PL,Poland,Lower Silesian Voivodeship,,2020-03-02,3,1,-5,0,4,-1
PL,Poland,Lower Silesian Voivodeship,,2020-03-03,-2,-4,-18,-4,3,1
PL,Poland,Lower Silesian Voivodeship,,2020-03-04,7,3,4,0,3,-1
PL,Poland,Lower Silesian Voivodeship,,2020-03-05,6,3,13,0,3,-1
PL,Poland,Lower Silesian Voivodeship,,2020-03-06,3,2,2,-1,3,0
PL,Poland,Lower Silesian Voivodeship,,2020-03-07,0,2,-12,-6,2,1
PL,Poland,Lower Silesian Voivodeship,,2020-03-08,26,-3,64,13,6,-2
PL,Poland,Lower Silesian Voivodeship,,2020-03-09,2,0,-6,-3,3,0
PL,Poland,Lower Silesian Voivodeship,,2020-03-10,3,7,4,-3,3,1
PL,Poland,Lower Silesian Voivodeship,,2020-03-11,4,25,0,-9,0,0
PL,Poland,Lower Silesian Voivodeship,,2020-03-12,-13,18,-19,-28,-15,6
PL,Poland,Lower Silesian Voivodeship,,2020-03-13,-28,1,-29,-40,-20,10
PL,Poland,Lower Silesian Voivodeship,,2020-03-14,-51,-19,-17,-41,-13,9
PL,Poland,Lower Silesian Voivodeship,,2020-03-15,-69,-44,-15,-55,-22,9
PL,Poland,Lower Silesian Voivodeship,,2020-03-16,-49,-24,-20,-56,-35,15
PL,Poland,Lower Silesian Voivodeship,,2020-03-17,-52,-28,7,-55,-39,17
PL,Poland,Lower Silesian Voivodeship,,2020-03-18,-49,-25,14,-54,-41,16
PL,Poland,Lower Silesian Voivodeship,,2020-03-19,-52,-26,-3,-58,-42,18
PL,Poland,Lower Silesian Voivodeship,,2020-03-20,-58,-27,-44,-64,-42,21
PL,Poland,Lower Silesian Voivodeship,,2020-03-21,-66,-35,-52,-64,-29,14
PL,Poland,Lower Silesian Voivodeship,,2020-03-22,-78,-58,-52,-71,-33,12
PL,Poland,Lower Silesian Voivodeship,,2020-03-23,-54,-29,-41,-63,-44,19
PL,Poland,Lower Silesian Voivodeship,,2020-03-24,-53,-25,-33,-63,-45,21
PL,Poland,Lower Silesian Voivodeship,,2020-03-25,-59,-32,-46,-66,-47,21
PL,Poland,Lower Silesian Voivodeship,,2020-03-26,-60,-33,-40,-67,-48,22
PL,Poland,Lower Silesian Voivodeship,,2020-03-27,-59,-31,-30,-66,-47,22
PL,Poland,Lower Silesian Voivodeship,,2020-03-28,-65,-36,-11,-60,-30,12
PL,Poland,Lower Silesian Voivodeship,,2020-03-29,-82,-65,-71,-77,-38,13
PL,Poland,Lower Silesian Voivodeship,,2020-03-30,-58,-34,-47,-67,-47,20
PL,Poland,Lower Silesian Voivodeship,,2020-03-31,-58,-29,-52,-67,-48,23
PL,Poland,Lower Silesian Voivodeship,,2020-04-01,-59,-40,-48,-67,-49,22
PL,Poland,Lower Silesian Voivodeship,,2020-04-02,-59,-37,-47,-68,-50,22
PL,Poland,Lower Silesian Voivodeship,,2020-04-03,-61,-37,-56,-70,-49,24
PL,Poland,Lower Silesian Voivodeship,,2020-04-04,-73,-47,-57,-67,-34,15
PL,Poland,Lower Silesian Voivodeship,,2020-04-05,-73,40,-59,-72,-27,12
PL,Poland,Lower Silesian Voivodeship,,2020-04-06,-56,-40,-44,-67,-49,20
PL,Poland,Lower Silesian Voivodeship,,2020-04-07,-54,-31,-33,-65,-49,21
PL,Poland,Lower Silesian Voivodeship,,2020-04-08,-51,-28,-36,-64,-49,19
PL,Poland,Lower Silesian Voivodeship,,2020-04-09,-50,-23,-37,-64,-51,20
PL,Poland,Lower Silesian Voivodeship,,2020-04-10,-51,-20,-44,-66,-56,24
PL,Poland,Lower Silesian Voivodeship,,2020-04-11,-76,-60,-56,-68,-48,17
PL,Poland,Lublin Voivodeship,,2020-02-15,7,0,16,6,3,1
PL,Poland,Lublin Voivodeship,,2020-02-16,14,1,19,5,-2,1
PL,Poland,Lublin Voivodeship,,2020-02-17,3,7,11,14,26,-2
PL,Poland,Lublin Voivodeship,,2020-02-18,0,3,3,7,0,0
PL,Poland,Lublin Voivodeship,,2020-02-19,2,7,10,6,-1,0
PL,Poland,Lublin Voivodeship,,2020-02-20,2,5,9,5,0,0
PL,Poland,Lublin Voivodeship,,2020-02-21,-1,1,-1,10,28,0
PL,Poland,Lublin Voivodeship,,2020-02-22,5,1,25,10,4,0
PL,Poland,Lublin Voivodeship,,2020-02-23,-4,-11,-19,2,-4,2
PL,Poland,Lublin Voivodeship,,2020-02-24,-3,6,-7,5,28,-1
PL,Poland,Lublin Voivodeship,,2020-02-25,-2,6,1,5,2,0
PL,Poland,Lublin Voivodeship,,2020-02-26,-5,2,8,3,2,0
PL,Poland,Lublin Voivodeship,,2020-02-27,1,7,8,9,3,0
PL,Poland,Lublin Voivodeship,,2020-02-28,0,6,11,17,32,-1
PL,Poland,Lublin Voivodeship,,2020-02-29,4,4,14,8,5,1
PL,Poland,Lublin Voivodeship,,2020-03-01,1,-4,-3,5,1,2
PL,Poland,Lublin Voivodeship,,2020-03-02,-2,8,-8,6,31,-1
PL,Poland,Lublin Voivodeship,,2020-03-03,3,6,21,9,5,-1
PL,Poland,Lublin Voivodeship,,2020-03-04,0,7,-2,5,3,0
PL,Poland,Lublin Voivodeship,,2020-03-05,4,8,20,8,5,-1
PL,Poland,Lublin Voivodeship,,2020-03-06,3,6,11,17,34,-1
PL,Poland,Lublin Voivodeship,,2020-03-07,13,11,38,12,8,0
PL,Poland,Lublin Voivodeship,,2020-03-08,26,7,8,15,4,1
PL,Poland,Lublin Voivodeship,,2020-03-09,3,9,9,11,32,-3
PL,Poland,Lublin Voivodeship,,2020-03-10,4,12,15,11,5,-2
PL,Poland,Lublin Voivodeship,,2020-03-11,-2,41,0,9,-3,0
PL,Poland,Lublin Voivodeship,,2020-03-12,-23,9,-17,-16,-25,7
PL,Poland,Lublin Voivodeship,,2020-03-13,-38,-7,-28,-30,-9,11
